train_no,direction,A駅,B駅,C駅,D駅,E駅,F駅,G駅,H駅,I駅,J駅
101,down,04:00,04:04,04:08,04:13,04:17,04:22,04:26,04:31,04:35,04:40
102,up,04:40,04:36,04:32,04:27,04:23,04:18,04:14,04:09,04:05,04:00
103,down,04:30,04:34,04:38,04:43,04:47,04:52,04:56,05:01,05:05,05:10
104,up,05:10,05:06,05:02,04:57,04:53,04:48,04:44,04:39,04:35,04:30
105,down,05:00,05:04,05:08,05:13,05:17,05:22,05:26,05:31,05:35,05:40
106,up,05:40,05:36,05:32,05:27,05:23,05:18,05:14,05:09,05:05,05:00
107,down,05:30,05:34,05:38,05:43,05:47,05:52,05:56,06:01,06:05,06:10
108,up,06:10,06:06,06:02,05:57,05:53,05:48,05:44,05:39,05:35,05:30
109,down,06:00,06:04,06:08,06:13,06:17,06:22,06:26,06:31,06:35,06:40
110,up,06:40,06:36,06:32,06:27,06:23,06:18,06:14,06:09,06:05,06:00
111,down,06:30,06:34,06:38,06:43,06:47,06:52,06:56,07:01,07:05,07:10
112,up,07:10,07:06,07:02,06:57,06:53,06:48,06:44,06:39,06:35,06:30
113,down,07:00,07:04,07:08,07:13,07:17,07:22,07:26,07:31,07:35,07:40
114,up,07:40,07:36,07:32,07:27,07:23,07:18,07:14,07:09,07:05,07:00
115,down,07:15,07:19,07:23,07:28,07:32,07:37,07:41,07:46,07:50,07:55
116,up,07:55,07:51,07:47,07:42,07:38,07:33,07:29,07:24,07:20,07:15
117,down,07:30,07:34,07:38,07:43,07:47,07:52,07:56,08:01,08:05,08:10
118,up,08:10,08:06,08:02,07:57,07:53,07:48,07:44,07:39,07:35,07:30
119,down,07:45,07:49,07:53,07:58,08:02,08:07,08:11,08:16,08:20,08:25
120,up,08:25,08:21,08:17,08:12,08:08,08:03,07:59,07:54,07:50,07:45
121,down,08:00,08:04,08:08,08:13,08:17,08:22,08:26,08:31,08:35,08:40
122,up,08:40,08:36,08:32,08:27,08:23,08:18,08:14,08:09,08:05,08:00
123,down,08:15,08:19,08:23,08:28,08:32,08:37,08:41,08:46,08:50,08:55
124,up,08:55,08:51,08:47,08:42,08:38,08:33,08:29,08:24,08:20,08:15
125,down,08:30,08:34,08:38,08:43,08:47,08:52,08:56,09:01,09:05,09:10
126,up,09:10,09:06,09:02,08:57,08:53,08:48,08:44,08:39,08:35,08:30
127,down,08:45,08:49,08:53,08:58,09:02,09:07,09:11,09:16,09:20,09:25
128,up,09:25,09:21,09:17,09:12,09:08,09:03,08:59,08:54,08:50,08:45
129,down,09:00,09:04,09:08,09:13,09:17,09:22,09:26,09:31,09:35,09:40
130,up,09:40,09:36,09:32,09:27,09:23,09:18,09:14,09:09,09:05,09:00
131,down,09:30,09:34,09:38,09:43,09:47,09:52,09:56,10:01,10:05,10:10
132,up,10:10,10:06,10:02,09:57,09:53,09:48,09:44,09:39,09:35,09:30
133,down,10:00,10:04,10:08,10:13,10:17,10:22,10:26,10:31,10:35,10:40
134,up,10:40,10:36,10:32,10:27,10:23,10:18,10:14,10:09,10:05,10:00
135,down,10:30,10:34,10:38,10:43,10:47,10:52,10:56,11:01,11:05,11:10
136,up,11:10,11:06,11:02,10:57,10:53,10:48,10:44,10:39,10:35,10:30
137,down,11:00,11:04,11:08,11:13,11:17,11:22,11:26,11:31,11:35,11:40
138,up,11:40,11:36,11:32,11:27,11:23,11:18,11:14,11:09,11:05,11:00
139,down,11:30,11:34,11:38,11:43,11:47,11:52,11:56,12:01,12:05,12:10
140,up,12:10,12:06,12:02,11:57,11:53,11:48,11:44,11:39,11:35,11:30
141,down,12:00,12:04,12:08,12:13,12:17,12:22,12:26,12:31,12:35,12:40
142,up,12:40,12:36,12:32,12:27,12:23,12:18,12:14,12:09,12:05,12:00
143,down,12:30,12:34,12:38,12:43,12:47,12:52,12:56,13:01,13:05,13:10
144,up,13:10,13:06,13:02,12:57,12:53,12:48,12:44,12:39,12:35,12:30
145,down,13:00,13:04,13:08,13:13,13:17,13:22,13:26,13:31,13:35,13:40
146,up,13:40,13:36,13:32,13:27,13:23,13:18,13:14,13:09,13:05,13:00
147,down,13:30,13:34,13:38,13:43,13:47,13:52,13:56,14:01,14:05,14:10
148,up,14:10,14:06,14:02,13:57,13:53,13:48,13:44,13:39,13:35,13:30
149,down,14:00,14:04,14:08,14:13,14:17,14:22,14:26,14:31,14:35,14:40
150,up,14:40,14:36,14:32,14:27,14:23,14:18,14:14,14:09,14:05,14:00
151,down,14:30,14:34,14:38,14:43,14:47,14:52,14:56,15:01,15:05,15:10
152,up,15:10,15:06,15:02,14:57,14:53,14:48,14:44,14:39,14:35,14:30
153,down,15:00,15:04,15:08,15:13,15:17,15:22,15:26,15:31,15:35,15:40
154,up,15:40,15:36,15:32,15:27,15:23,15:18,15:14,15:09,15:05,15:00
155,down,15:30,15:34,15:38,15:43,15:47,15:52,15:56,16:01,16:05,16:10
156,up,16:10,16:06,16:02,15:57,15:53,15:48,15:44,15:39,15:35,15:30
157,down,16:00,16:04,16:08,16:13,16:17,16:22,16:26,16:31,16:35,16:40
158,up,16:40,16:36,16:32,16:27,16:23,16:18,16:14,16:09,16:05,16:00
159,down,16:30,16:34,16:38,16:43,16:47,16:52,16:56,17:01,17:05,17:10
160,up,17:10,17:06,17:02,16:57,16:53,16:48,16:44,16:39,16:35,16:30
161,down,17:00,17:04,17:08,17:13,17:17,17:22,17:26,17:31,17:35,17:40
162,up,17:40,17:36,17:32,17:27,17:23,17:18,17:14,17:09,17:05,17:00
163,down,17:15,17:19,17:23,17:28,17:32,17:37,17:41,17:46,17:50,17:55
164,up,17:55,17:51,17:47,17:42,17:38,17:33,17:29,17:24,17:20,17:15
165,down,17:30,17:34,17:38,17:43,17:47,17:52,17:56,18:01,18:05,18:10
166,up,18:10,18:06,18:02,17:57,17:53,17:48,17:44,17:39,17:35,17:30
167,down,17:45,17:49,17:53,17:58,18:02,18:07,18:11,18:16,18:20,18:25
168,up,18:25,18:21,18:17,18:12,18:08,18:03,17:59,17:54,17:50,17:45
169,down,18:00,18:04,18:08,18:13,18:17,18:22,18:26,18:31,18:35,18:40
170,up,18:40,18:36,18:32,18:27,18:23,18:18,18:14,18:09,18:05,18:00
171,down,18:15,18:19,18:23,18:28,18:32,18:37,18:41,18:46,18:50,18:55
172,up,18:55,18:51,18:47,18:42,18:38,18:33,18:29,18:24,18:20,18:15
173,down,18:30,18:34,18:38,18:43,18:47,18:52,18:56,19:01,19:05,19:10
174,up,19:10,19:06,19:02,18:57,18:53,18:48,18:44,18:39,18:35,18:30
175,down,18:45,18:49,18:53,18:58,19:02,19:07,19:11,19:16,19:20,19:25
176,up,19:25,19:21,19:17,19:12,19:08,19:03,18:59,18:54,18:50,18:45
177,down,19:00,19:04,19:08,19:13,19:17,19:22,19:26,19:31,19:35,19:40
178,up,19:40,19:36,19:32,19:27,19:23,19:18,19:14,19:09,19:05,19:00
179,down,19:30,19:34,19:38,19:43,19:47,19:52,19:56,20:01,20:05,20:10
180,up,20:10,20:06,20:02,19:57,19:53,19:48,19:44,19:39,19:35,19:30
181,down,20:00,20:04,20:08,20:13,20:17,20:22,20:26,20:31,20:35,20:40
182,up,20:40,20:36,20:32,20:27,20:23,20:18,20:14,20:09,20:05,20:00
183,down,20:30,20:34,20:38,20:43,20:47,20:52,20:56,21:01,21:05,21:10
184,up,21:10,21:06,21:02,20:57,20:53,20:48,20:44,20:39,20:35,20:30
185,down,21:00,21:04,21:08,21:13,21:17,21:22,21:26,21:31,21:35,21:40
186,up,21:40,21:36,21:32,21:27,21:23,21:18,21:14,21:09,21:05,21:00
187,down,21:30,21:34,21:38,21:43,21:47,21:52,21:56,22:01,22:05,22:10
188,up,22:10,22:06,22:02,21:57,21:53,21:48,21:44,21:39,21:35,21:30
189,down,22:00,22:04,22:08,22:13,22:17,22:22,22:26,22:31,22:35,22:40
190,up,22:40,22:36,22:32,22:27,22:23,22:18,22:14,22:09,22:05,22:00
191,down,22:30,22:34,22:38,22:43,22:47,22:52,22:56,23:01,23:05,23:10
192,up,23:10,23:06,23:02,22:57,22:53,22:48,22:44,22:39,22:35,22:30
193,down,23:00,23:04,23:08,23:13,23:17,23:22,23:26,23:31,23:35,23:40
194,up,23:40,23:36,23:32,23:27,23:23,23:18,23:14,23:09,23:05,23:00
195,down,23:20,23:24,23:28,23:33,23:37,23:42,23:46,23:51,23:55,00:00
196,up,00:00,23:56,23:52,23:47,23:43,23:38,23:34,23:29,23:25,23:20
